Index, #Predicates, #Actions, #States, #Traces, TPR, TNR, FPR, FNR
1 12 13 4096 13 0.7692 0.0000 0.2308 0.0000
2 27 36 134217728 0 0.0000 0.0000 0.0000 0.0000
3 18 22 262144 0 0.0000 0.0000 0.0000 0.0000
4 25 62 33554432 0 0.0000 0.0000 0.0000 0.0000
5 25 39 33554432 0 0.0000 0.0000 0.0000 0.0000
6 20 21 1048576 0 0.0000 0.0000 0.0000 0.0000
7 26 30 67108864 0 0.0000 0.0000 0.0000 0.0000
8 20 33 1048576 0 0.0000 0.0000 0.0000 0.0000
9 20 33 1048576 0 0.0000 0.0000 0.0000 0.0000
0 0 0 0 0 0.0000 0.0000 0.0000 0.0000

# Run with primitive sensors depth 1
1 12 13 4096 201 0.6318 0.0000 0.3682 0.0000
2 27 36 134217728 201 0.6866 0.2786 0.0100 0.0249
3 18 22 262144 201 0.7114 0.0000 0.2886 0.0000
4 25 62 33554432 201 0.6269 0.0000 0.3731 0.0000
5 25 39 33554432 201 0.6020 0.0000 0.3980 0.0000
6 20 21 1048576 201 0.7512 0.0000 0.2488 0.0000
7 26 30 67108864 201 0.7114 0.0000 0.2886 0.0000

9 20 33 1048576 201 0.7512 0.0448 0.2040 0.0000

# Run with primitive sensors depth 3
1 12 13 4096 201 0.7065 0.0000 0.2935 0.0000

3 18 22 262144 201 0.7164 0.2189 0.0597 0.0050
4 25 62 33554432 201 0.6468 0.0796 0.2736 0.0000
5 25 39 33554432 201 0.6816 0.0149 0.2935 0.0100
6 20 21 1048576 201 0.6866 0.0299 0.2587 0.0249
7 26 30 67108864 201 0.7264 0.0000 0.2736 0.0000
8 20 33 1048576 201 0.7065 0.0000 0.2935 0.0000
9 20 33 1048576 201 0.6965 0.0000 0.3035 0.0000

# Run with primitive sensors depth 3 - results from Nir
Index, #Predicates, #Actions, #States, #Traces, TPR, TNR, FPR, FNR
1 12 13 4096 201 0.6816 0.0000 0.3184 0.0000
2 27 36 134217728 201 0.7164 0.0000 0.2836 0.0000
3 18 22 262144 201 0.7413 0.0547 0.2040 0.0000
4 25 62 33554432 201 0.6617 0.0697 0.2687 0.0000
5 25 39 33554432 201 0.6219 0.0000 0.3781 0.0000
6 20 21 1048576 201 0.6567 0.2935 0.0199 0.0299
8 20 33 1048576 201 0.6816 0.2587 0.0398 0.0199
9 20 33 1048576 201 0.7015 0.2438 0.0448 0.0100
