Index, #Predicates, #Actions, #States, #Traces, TPR, TNR, FPR, FNR
1 12 13 4096 0 0.0000 0.0000 0.0000 0.0000
2 27 36 134217728 0 0.0000 0.0000 0.0000 0.0000
3 18 22 262144 0 0.0000 0.0000 0.0000 0.0000
4 25 62 33554432 0 0.0000 0.0000 0.0000 0.0000
5 25 39 33554432 0 0.0000 0.0000 0.0000 0.0000
6 20 21 1048576 0 0.0000 0.0000 0.0000 0.0000
7 26 30 67108864 0 0.0000 0.0000 0.0000 0.0000
8 20 33 1048576 0 0.0000 0.0000 0.0000 0.0000
9 20 33 1048576 0 0.0000 0.0000 0.0000 0.0000
0 0 0 0 0 0.0000 0.0000 0.0000 0.0000

3 18 22 262144 200 0.9800 0.0000 0.0200 0.0000
